id;name;sport_type;start_date;distance_km;moving_time_sec;elapsed_time_sec;elevation_gain;average_heartrate;max_heartrate;average_cadence;average_speed;max_speed;pace_sec_km;pace_formatted;efficiency_index;calories;suffer_score;pr_count;achievement_count;latitude;longitude;weather_temp;weather_feels_like;weather_humidity;weather_precipitation;weather_rain;weather_wind_speed;weather_wind_gusts;weather_code;weather_condition
18265161043;Corridas do bem;Run;26/04/2026 08:00:13;10.01;3207;3207;11.6;180.1;196.0;88.0;3.122;4.12;320;5:20;1.779;523.0;208.0;0;5;-28.484495;-49.016064;20.2;23.9;98;0.0;0.0;0.6;5.0;2;Parcialmente nublado
18243641663;Corrida da tarde;Run;24/04/2026 17:29:25;5.01;1797;1803;5.8;170.1;184.0;85.1;2.786;4.66;359;5:58;2.1088;275.0;83.0;0;0;-28.484668;-49.016079;21.4;25.5;99;0.0;0.0;2.3;5.4;3;Nublado
18209198131;Traaaa 🔫;Run;22/04/2026 06:06:16;7.01;2395;2398;8.7;167.9;190.0;86.9;2.927;8.12;342;5:41;2.0351;356.0;100.0;0;0;-28.454401;-49.028653;20.2;22.7;92;0.0;0.0;6.2;12.6;0;Desconhecido
18157195880;Corrida matinal;Run;18/04/2026 07:19:36;12.01;5077;5739;382.2;167.7;185.0;78.9;2.365;3.78;423;7:02;2.5206;726.0;212.0;0;0;-28.455231;-49.030675;19.8;22.9;99;0.0;0.0;4.1;9.0;0;Desconhecido
18137098183;Corrida da tarde;Run;16/04/2026 16:43:22;6.01;2050;2070;19.2;173.5;192.0;85.5;2.931;3.58;341;5:41;1.966;317.0;106.0;0;0;-28.455409;-49.03086;21.0;22.6;80;0.0;0.0;7.2;15.1;3;Nublado
18110004356;Corrida da tarde;Run;14/04/2026 16:44:48;6.0;2054;2060;19.2;178.3;188.0;85.9;2.922;3.9;342;5:42;1.9198;328.0;124.0;0;0;-28.454946;-49.029161;21.2;24.4;93;0.0;0.0;4.5;12.6;3;Nublado
18032300787;Corrida da tarde;Run;08/04/2026 15:33:35;6.01;2174;2442;17.8;176.5;191.0;84.9;2.765;3.5;362;6:01;2.0493;345.0;119.0;0;0;-28.455072;-49.02866;25.5;28.4;78;0.0;0.0;11.7;27.4;3;Nublado
17985509859;Circuito Angeloni 2026;Run;05/04/2026 06:59:36;5.08;1583;1583;5.7;183.2;193.0;87.6;3.207;5.02;312;5:11;1.7009;261.0;104.0;6;8;-28.478308;-49.007027;22.5;27.0;99;0.0;0.0;3.5;6.1;1;Principalmente limpo
17960719792;Corrida matinal;Run;03/04/2026 07:40:47;6.01;2114;2114;12.5;174.0;185.0;84.9;2.844;3.62;352;5:51;2.0213;323.0;114.0;0;1;-28.454906;-49.029266;21.5;25.1;94;0.0;0.0;4.5;9.7;0;Desconhecido
17931111431;Corrida ao entardecer;Run;31/03/2026 18:49:19;8.01;2759;2765;12.4;173.3;189.0;83.5;2.903;4.36;344;5:44;1.9873;410.0;144.0;0;0;-28.45476;-49.029596;21.8;25.5;94;0.2;0.2;3.2;16.2;51;Garoa leve
17887669400;Corrida matinal;Run;28/03/2026 07:57:36;11.01;4572;5069;340.5;177.9;194.0;75.8;2.408;4.06;415;6:55;2.3345;700.0;271.0;0;3;-28.455083;-49.02861;25.0;29.5;92;0.0;0.0;8.4;17.6;0;Desconhecido
17863741015;Humilhação matinal;Run;26/03/2026 06:34:30;6.01;2162;2162;0.0;170.8;187.0;82.6;2.782;3.38;360;5:59;2.106;322.0;104.0;0;0;;;;;;;;;;;
17859175004;Corrida ao entardecer;Run;25/03/2026 18:34:10;7.01;2519;2519;16.8;174.9;185.0;82.8;2.784;3.32;359;5:59;2.0543;387.0;141.0;0;0;-28.461085;-49.024474;22.9;26.1;87;0.0;0.0;7.0;15.8;3;Nublado
17815490032;Corrida matinal;Run;22/03/2026 08:25:29;10.01;4057;4542;255.6;181.0;193.0;77.6;2.468;4.32;405;6:45;2.2392;666.0;258.0;1;1;-28.454792;-49.029661;23.9;28.7;93;0.0;0.0;3.5;7.9;3;Nublado
17772778116;Corrida ao entardecer;Run;18/03/2026 18:58:29;6.01;2045;2045;4.4;175.5;186.0;83.8;2.937;3.9;340;5:40;1.939;320.0;116.0;1;5;-28.48357;-49.012688;23.0;27.9;94;0.0;0.0;1.0;3.2;3;Nublado
17706020552;Corrida matinal;Run;13/03/2026 06:37:28;6.02;2114;2114;0.0;174.6;187.0;82.1;2.846;3.44;351;5:51;2.0115;330.0;117.0;0;0;;;;;;;;;;;
17648468780;Run Fun Wine;Run;08/03/2026 09:24:51;7.41;2587;3064;13.9;177.6;190.0;82.2;2.863;3.7;349;5:49;1.9657;417.0;153.0;0;1;-28.473149;-48.991058;22.5;26.1;95;0.0;0.0;7.2;13.7;3;Nublado
17610708816;Corrida matinal;Run;05/03/2026 06:04:44;7.01;2446;2462;57.7;172.0;185.0;84.2;2.867;3.64;349;5:48;2.0285;378.0;123.0;0;0;-28.454874;-49.028724;21.0;23.8;90;0.0;0.0;5.0;9.4;0;Desconhecido
17585623369;Corrida matinal;Run;03/03/2026 06:36:03;6.02;1853;1853;0.0;167.5;187.0;82.0;3.249;3.78;308;5:07;1.8376;280.0;83.0;0;0;;;;;;;;;;;
17527873442;Corrida matinal;Run;26/02/2026 06:34:08;6.01;1910;1910;0.0;181.6;193.0;82.0;3.145;3.68;318;5:17;1.75;320.0;122.0;0;0;;;;;;;;;;;
17484396507;Treino matinal;Workout;22/02/2026 09:31:00;2.85;1812;1812;0.0;131.9;182.0;62.0;1.575;4.36;636;10:35;4.8203;183.0;16.0;0;0;;;;;;;;;;;
17384788770;Treino matinal;Workout;13/02/2026 10:58:45;4.55;3601;3601;0.0;156.9;195.0;56.8;1.263;5.06;791;13:11;5.044;472.0;97.0;0;0;;;;;;;;;;;
17363040311;Treino matinal;Workout;11/02/2026 10:55:27;4.74;2999;2999;0.0;163.7;194.0;63.7;1.58;5.22;633;10:32;3.865;434.0;109.0;0;0;;;;;;;;;;;
17352426332;HIIT;Workout;10/02/2026 11:05:02;4.77;3001;3001;0.0;154.9;190.0;63.8;1.59;5.42;629;10:29;4.0613;397.0;75.0;0;0;;;;;;;;;;;
17317586668;Treino matinal;Workout;07/02/2026 09:57:18;4.4;2701;2701;0.0;155.9;197.0;64.5;1.628;4.66;614;10:13;3.9378;365.0;72.0;0;0;;;;;;;;;;;
17294819298;🔥 HIIT 🔥;Workout;05/02/2026 08:51:24;4.63;2701;2701;0.0;161.3;183.0;62.9;1.715;4.74;583;9:43;3.6169;378.0;89.0;0;0;;;;;;;;;;;
17272399944;Treino matinal;Workout;03/02/2026 10:13:41;4.14;2732;2732;0.0;162.9;191.0;61.0;1.515;4.64;660;10:59;4.051;393.0;99.0;0;0;;;;;;;;;;;
17260620360;HIIT;Workout;02/02/2026 10:13:30;4.56;2738;2738;0.0;162.4;193.0;62.3;1.666;4.82;600;10:00;3.697;386.0;96.0;0;0;;;;;;;;;;;
17210802361;HIIT;Workout;28/01/2026 18:55:36;3.74;2101;2101;0.0;158.6;185.0;64.3;1.781;4.76;562;9:21;3.5422;288.0;62.0;0;0;;;;;;;;;;;
17173088258;Treino matinal;Workout;25/01/2026 10:17:38;3.29;1809;1809;0.0;159.7;188.0;63.1;1.816;4.94;550;9:09;3.4427;260.0;57.0;0;0;;;;;;;;;;;
17125591023;Corrida matinal;Run;21/01/2026 06:34:58;6.47;2038;2038;0.0;156.9;187.0;83.3;3.173;3.64;315;5:14;2.0076;281.0;55.0;0;0;;;;;;;;;;;
17056663134;Corrida matinal;Run;15/01/2026 06:36:14;4.01;1418;1792;0.0;131.5;133.0;83.1;2.829;3.0;354;5:53;2.689;159.0;7.0;0;0;;;;;;;;;;;
17052737819;Treino ao entardecer;Workout;14/01/2026 19:03:11;2.57;1815;1815;0.0;144.0;172.0;60.7;1.418;4.44;706;11:46;4.9042;214.0;23.0;0;0;;;;;;;;;;;
16987866443;Corrida matinal;Run;09/01/2026 06:47:23;4.02;1413;1413;0.0;103.8;141.0;84.3;2.848;3.08;352;5:51;3.3863;89.0;3.0;0;0;;;;;;;;;;;
16954085293;Corrida matinal;Run;06/01/2026 06:31:47;6.02;2180;2180;0.0;152.0;182.0;82.9;2.761;3.1;362;6:02;2.3822;294.0;38.0;0;0;;;;;;;;;;;
16894567264;VEM 2026!!;Workout;31/12/2025 10:32:00;2.34;1802;1802;0.0;155.7;180.0;61.3;1.3;3.88;770;12:50;4.9461;213.0;46.0;0;0;;;;;;;;;;;
16855043301;Treino matinal;Workout;27/12/2025 10:13:46;2.39;5168;5168;0.0;117.5;186.0;62.0;0.462;3.58;2162;36:02;18.4026;222.0;36.0;0;0;;;;;;;;;;;
16829901257;HIIT NATALINO 🎄;Workout;24/12/2025 10:39:47;2.01;1804;1804;0.0;113.2;142.0;58.3;1.117;3.56;898;14:57;7.9284;121.0;6.0;0;0;;;;;;;;;;;
16794245850;Treino na hora do almoço;Workout;20/12/2025 11:02:53;2.4;1801;1801;0.0;160.9;190.0;62.8;1.33;3.64;750;12:30;4.6638;265.0;61.0;0;0;;;;;;;;;;;
16771739178;Corrida ao entardecer;Run;17/12/2025 19:02:24;7.01;2350;2350;9.5;170.6;183.0;86.1;2.983;3.74;335;5:35;1.9648;375.0;115.0;0;0;-28.483689;-48.963528;20.0;19.3;64;0.0;0.0;11.0;24.1;1;Principalmente limpo
16731925605;HIIT 🥵;Workout;13/12/2025 11:31:35;2.97;1806;1806;0.0;163.8;188.0;67.6;1.646;3.78;608;10:08;3.7125;273.0;68.0;0;0;;;;;;;;;;;
16711493572;Corrida matinal;Run;11/12/2025 06:49:50;5.02;1849;1856;0.0;176.4;186.0;81.9;2.714;3.02;368;6:08;2.0879;308.0;108.0;0;0;;;;;;;;;;;
16666170340;Treino matinal;Workout;06/12/2025 10:11:41;2.16;1508;1508;0.0;162.5;187.0;68.8;1.433;4.92;698;11:38;4.296;224.0;53.0;0;0;;;;;;;;;;;
16626688917;Corrida matinal;Run;02/12/2025 06:34:10;6.01;2293;2293;0.0;171.9;184.0;80.0;2.623;2.94;382;6:21;2.2193;365.0;118.0;0;0;;;;;;;;;;;
16599887556;Corrida matinal;Run;29/11/2025 09:01:04;6.01;2013;2013;21.7;181.5;194.0;85.5;2.984;3.82;335;5:34;1.8452;357.0;127.0;0;0;-28.45497;-49.028736;19.3;21.3;95;0.0;0.0;7.6;14.8;3;Nublado
16566881729;Corrida ao entardecer;Run;25/11/2025 18:44:24;8.01;2817;2817;19.5;168.1;186.0;84.0;2.843;4.82;352;5:51;2.0922;445.0;127.0;0;0;-28.460943;-49.024431;17.4;18.7;90;0.0;0.0;4.6;9.0;0;Desconhecido
16468848026;Corrida da tarde;Run;15/11/2025 17:01:29;5.01;1626;1630;15.4;120.7;158.0;86.6;3.08;3.92;325;5:24;2.6893;142.0;7.0;1;2;-28.455172;-49.028712;19.3;22.6;100;0.0;0.0;1.5;4.3;3;Nublado
16440238931;Corrida ao entardecer;Run;12/11/2025 18:31:41;8.68;3064;3066;5.3;174.5;189.0;84.1;2.834;3.86;353;5:52;2.0229;517.0;167.0;0;0;-28.455147;-49.028585;16.1;15.3;77;0.0;0.0;10.0;20.5;3;Nublado
16361366440;Corrida matinal;Run;05/11/2025 06:41:08;5.01;1911;1911;0.0;103.0;132.0;81.0;2.623;2.9;381;6:21;3.7029;117.0;5.0;0;0;;;;;;;;;;;
16330699760;Minha primeira meia maratona;Run;02/11/2025 06:30:51;21.11;7358;7358;28.1;173.6;192.0;83.5;2.868;4.1;349;5:48;2.0081;1234.0;392.0;8;15;-28.473168;-48.994998;19.1;22.0;98;0.0;0.0;2.4;6.5;3;Nublado
16314873729;Corrida da tarde;Run;31/10/2025 16:12:40;7.02;2727;2727;0.0;110.6;142.0;80.3;2.574;2.94;388;6:28;3.5127;199.0;8.0;0;0;;;;;;;;;;;
16297225326;Corrida ao entardecer;Run;29/10/2025 19:02:35;8.01;2836;2840;14.1;149.1;190.0;82.3;2.824;4.02;354;5:54;2.3749;380.0;48.0;0;0;-28.454783;-49.029777;16.6;16.2;97;10.6;10.6;17.8;34.2;65;Chuva intensa
16263597468;Corrida matinal;Run;26/10/2025 10:22:10;14.01;4884;4985;15.1;178.5;204.0;80.7;2.868;4.74;349;5:48;1.9529;835.0;282.0;2;3;-28.451473;-49.026156;19.0;21.4;93;0.0;0.0;3.1;5.8;3;Nublado
16252287107;Primeiro treininho pós 🤧;Run;25/10/2025 10:07:34;5.01;1599;1666;9.7;185.8;197.0;87.0;3.13;5.18;319;5:19;1.718;284.0;109.0;1;1;-28.455576;-49.028645;18.8;17.7;74;0.0;0.0;16.1;32.8;3;Nublado
16195575850;Corrida da tarde;Run;19/10/2025 16:14:33;16.01;6261;6399;373.9;166.4;182.0;79.0;2.557;4.1;391;6:31;2.3504;936.0;249.0;1;3;-28.440114;-49.024904;14.7;12.8;76;0.0;0.0;13.8;29.5;1;Principalmente limpo
16157629963;Corrida matinal;Run;16/10/2025 05:57:58;8.01;2830;2860;70.8;167.0;190.0;80.9;2.829;4.58;353;5:53;2.1156;436.0;116.0;0;0;-28.455307;-49.028537;16.9;17.2;85;0.0;0.0;8.1;17.3;0;Desconhecido
16142527848;Corrida ao entardecer;Run;14/10/2025 18:03:36;4.01;1309;1440;2.8;174.7;188.0;85.0;3.062;4.02;326;5:26;1.8683;229.0;71.0;0;0;-28.46799;-49.032341;16.5;18.3;100;0.0;0.0;2.4;7.2;3;Nublado
16142527663;Corrida da tarde;Run;14/10/2025 17:36:00;4.33;1414;1616;0.0;173.5;190.0;80.0;3.06;4.52;327;5:26;1.8824;248.0;72.0;0;0;-28.454892;-49.029323;16.5;18.4;100;0.0;0.0;1.8;6.1;3;Nublado
16117894960;Corrida matinal;Run;12/10/2025 09:06:19;12.01;4346;4357;11.5;172.4;185.0;80.1;2.764;4.36;362;6:01;2.0992;681.0;220.0;0;0;-28.457464;-49.027141;19.9;20.4;86;0.0;0.0;14.7;29.5;3;Nublado
16067957779;Corrida da tarde;Run;07/10/2025 17:12:05;8.01;2935;2945;7.2;191.6;207.0;82.0;2.729;3.536;366;6:06;1.9123;542.0;217.0;0;0;-28.458358;-49.026615;16.3;15.1;74;0.0;0.0;11.7;28.1;3;Nublado
16040597742;Circuito Unimed;Run;05/10/2025 07:31:23;10.0;3223;3228;8.5;182.5;192.0;86.7;3.098;4.08;322;5:22;1.766;593.0;208.0;0;2;-28.472577;-48.990219;19.8;20.7;92;0.0;0.0;15.6;37.8;1;Principalmente limpo
15996192467;Corrida matinal;Run;01/10/2025 05:53:30;8.01;2476;3331;3.8;159.8;199.0;88.3;3.234;4.98;309;5:09;1.9343;480.0;77.0;0;0;-28.45572;-49.028686;18.5;20.6;98;1.3;1.3;6.7;13.3;61;Chuva leve
15970218518;Corrida da tarde;Run;28/09/2025 17:26:14;16.01;5373;5645;29.9;178.3;202.0;85.0;2.98;5.3;336;5:35;1.8822;945.0;315.0;12;14;-28.456086;-49.028574;16.9;15.3;75;0.0;0.0;16.2;32.0;3;Nublado
15952843431;Corrida matinal;Run;27/09/2025 09:09:31;8.01;2829;2855;107.1;133.6;168.0;85.6;2.831;7.76;353;5:53;2.6437;300.0;19.0;0;0;-28.45556;-49.027635;13.5;13.0;86;0.0;0.0;6.1;18.0;0;Desconhecido
15915153148;Corrida ao entardecer;Run;23/09/2025 19:07:16;4.0;1227;1594;3.7;180.4;195.0;88.1;3.261;4.56;307;5:06;1.7007;264.0;77.0;0;0;-28.468528;-49.031868;11.1;10.3;89;0.0;0.0;4.6;11.5;0;Desconhecido
15915148337;Corrida ao entardecer;Run;23/09/2025 18:53:54;2.14;705;705;2.9;175.6;189.0;81.8;3.034;4.54;329;5:29;1.8759;104.0;40.0;0;0;-28.467516;-49.032173;11.1;10.3;89;0.0;0.0;4.6;11.5;0;Desconhecido
15915143197;Corrida ao entardecer;Run;23/09/2025 18:40:25;2.01;689;700;6.1;172.8;178.0;85.0;2.914;8.1;343;5:42;1.9838;111.0;34.0;0;0;-28.459004;-49.025437;11.2;10.7;95;0.0;0.0;4.8;11.9;0;Desconhecido
15876811944;Corrida matinal;Run;20/09/2025 09:34:02;15.01;5375;5485;20.4;177.0;197.0;84.9;2.793;5.6;358;5:58;2.0232;917.0;315.0;0;4;-28.454856;-49.028745;16.7;18.6;98;0.0;0.0;2.5;4.3;0;Desconhecido
15851697844;Fartlek matinal;Run;18/09/2025 05:46:07;8.01;2734;2743;10.0;176.5;198.0;86.3;2.929;4.0;341;5:41;1.9337;483.0;151.0;1;3;-28.454986;-49.028679;17.0;18.4;95;0.0;0.0;5.6;14.4;0;Desconhecido
15847931552;Corrida ao entardecer;Run;17/09/2025 18:55:52;8.01;2740;2741;3.0;165.5;187.0;85.2;2.924;5.04;342;5:42;2.0671;428.0;101.0;2;7;-28.472472;-48.997636;18.0;17.9;90;0.0;0.0;15.4;33.8;3;Nublado
15813970182;Corrida da tarde;Run;14/09/2025 17:22:33;18.01;6471;6486;25.4;173.5;188.0;83.6;2.783;4.56;359;5:59;2.0709;1106.0;338.0;1;7;-28.457077;-49.027459;13.5;13.0;89;0.0;0.0;7.2;14.4;1;Principalmente limpo
15772947779;Corrida matinal;Run;11/09/2025 05:53:46;8.01;2621;2628;12.2;121.4;141.0;87.4;3.057;4.26;327;5:27;2.6952;242.0;9.0;0;0;-28.456517;-49.028082;12.1;10.8;80;0.0;0.0;6.6;13.0;0;Desconhecido
15769292691;Corrida ao entardecer;Run;10/09/2025 18:55:52;8.66;2980;3080;7.5;121.3;145.0;85.0;2.906;10.2;344;5:44;2.8368;274.0;11.0;8;9;-28.483858;-49.014244;11.1;10.9;95;0.0;0.0;2.7;8.6;0;Desconhecido
15721870501;Corrida da tarde;Run;06/09/2025 16:39:03;16.02;6559;6601;368.9;176.0;195.0;79.4;2.442;3.48;409;6:49;2.3261;1106.0;369.0;2;4;-28.454797;-49.028792;10.6;8.4;88;0.0;0.0;12.1;24.1;3;Nublado
15692166945;Corrida matinal;Run;04/09/2025 05:43:06;7.01;2534;2543;110.5;169.6;188.0;85.8;2.766;3.82;362;6:01;2.1315;422.0;116.0;0;0;-28.454801;-49.028775;19.8;20.5;85;0.0;0.0;13.0;26.6;3;Nublado
15680626197;Corrida matinal;Run;03/09/2025 05:51:13;8.01;2527;2995;2.2;170.8;187.0;87.3;3.171;4.06;316;5:15;1.8472;483.0;121.0;0;0;-28.45488;-49.028734;19.9;19.8;81;0.0;0.0;16.7;33.1;3;Nublado
15650323401;Corrida matinal;Run;31/08/2025 10:42:44;13.01;4663;4829;15.3;180.3;192.0;85.5;2.79;4.56;358;5:58;1.9878;903.0;297.0;1;2;-28.456611;-49.028237;17.3;18.3;96;0.0;0.0;8.9;19.8;3;Nublado
15621090927;Corrida ao entardecer;Run;28/08/2025 18:51:31;8.01;2701;2701;7.7;149.4;161.0;86.0;2.965;4.16;337;5:37;2.257;397.0;57.0;0;0;-28.455094;-49.028556;15.4;16.6;97;0.3;0.3;2.5;5.0;51;Garoa leve
15609786182;Regenerativo 💆🏻‍♀️;Run;27/08/2025 18:09:35;6.01;2227;2227;9.8;151.0;169.0;83.4;2.7;3.34;370;6:10;2.4536;336.0;47.0;0;0;-28.454875;-49.029138;13.4;14.1;97;0.1;0.1;1.9;6.5;51;Garoa leve
15568235590;Corrida do soldado 2025;Run;24/08/2025 07:37:03;4.97;1528;1528;5.0;143.8;160.0;87.5;3.255;4.14;307;5:07;2.1377;204.0;23.0;3;3;-28.46979;-48.988575;11.6;9.8;95;3.7;3.7;14.5;32.4;63;Chuva moderada
15544675864;Corrida matinal;Run;22/08/2025 05:50:08;6.01;2116;2116;14.5;175.4;193.0;87.3;2.842;4.7;352;5:52;2.0074;367.0;119.0;0;0;-28.454758;-49.029962;16.4;16.2;91;0.0;0.0;12.8;25.2;2;Parcialmente nublado
15530150708;Corrida ao entardecer;Run;20/08/2025 18:53:13;8.0;3432;3434;0.0;171.9;197.0;87.0;2.332;4.74;429;7:09;2.4956;540.0;117.0;0;0;-28.455348;-49.026528;18.6;18.0;81;0.0;0.0;16.3;36.0;3;Nublado
