id;intensidade;name;sport_type;start_date;distance_km;moving_time_sec;elapsed_time_sec;elevation_gain;average_heartrate;max_heartrate;average_cadence;average_speed;max_speed;pace_sec_km;pace_formatted;efficiency_index;calories;suffer_score;pr_count;achievement_count;latitude;longitude;weather_temp;weather_feels_like;weather_humidity;weather_precipitation;weather_rain;weather_wind_speed;weather_wind_gusts;weather_code;weather_condition;map_summary_polyline
17093011877;;Treino noturno;Workout;31/12/2016 22:11:00;2.43;1800;1800;0.0;158.8;196.0;62.9;1.352;3.84;741;12:20;46.644;261.0;54.0;0;0;;;;;;;;;;;;
11219387887;;Corrida ao entardecer;Run;19/04/2024 18:17:00;5.01;1887;1887;3.7;;;;2.654;7.931;377;06:16;;0.0;;0;0;-28.462.255.848.571.600;-4.902.414.567.768.570;14.9;14.6;87.0;0.0;0.0;8.2;15.5;0.0;Desconhecido;vfvlDvmfjHbCtDh@~@lAhBhBtCtB|CpAvBlAhBd@x@zAtBn@jAz@pAr@~@fAfBTd@AFa@TUTUPMDGGuCsEaAuAeAiByA_Cc@m@w@sAL_CCcAy@iA{C}E[i@MO[k@qAmBa@s@SYECGQkAgBy@sAk@w@m@aAcAeBIKG?m@n@YRAF?FNL^h@Vd@`@h@v@rAr@`A^r@`@h@pB|CLTAd@FPV\~@|An@lAFFHPnB|C\p@bBpCHFD?TGZWT_@\]@GU[S_@_B_CaBgCMWk@u@uBiDS[GCk@n@[RAHDF\d@F@z@DTDFFp@DFD|AdCX^T^FFh@v@P\BHIlA?VIz@GPQGi@cAcAaBaA{Ai@aAmBwCYg@KMQu@u@gAo@eA
11271042161;;Corrida ao entardecer;Run;26/04/2024 18:25:00;3.28;1170;1186;3.6;;;;2.801;3.781;357;05:56;;0.0;;0;0;-2.845.516.936.853.520;-490.286.151.599.139;18.0;19.0;88.0;0.0;0.0;7.4;14.0;2.0;Parcialmente nublado;b~tlDrwfjHd@k@Rs@FEx@_@h@a@dB}AHMjAkAz@u@~H{Hh@e@\GRBFDLRVJRPd@bAr@bAz@xAhBlCfBxCd@n@R^FRHRJf@HLvDjGt@rApApBhD|FLPj@~@b@p@LVdAzAdAfBd@l@xBjD^d@RHb@n@FDBC?IGO{@yAuCkEmAqBsB{CMY[]QYaCoDCK?GNwB?IESAKBYgAaB_@u@w@eAi@{@EJBC?KOW
11379382113;;Corrida vespertina;Run;10/05/2024 15:24:00;3.03;1137;1151;4.1;;;;2.663;3.46;375;06:15;;0.0;;0;1;-28.456.642.236.560.500;-4.902.798.676.863.310;17.5;17.9;78.0;0.0;0.0;4.8;11.2;3.0;Nublado;deulDrpfjHfDiDNIl@q@vHmHFCJ?PEJ@FDRBPH\h@Zr@D@H?BEH@r@o@JED@LVDD@Dl@`A^f@dAhBPPfAlBLLx@lApEjHb@h@hAdBFXv@nA@HKnCNb@BNTf@T^f@n@~@vA|BrDLVfAxAl@fA\`@nAvBtAlBDDH?dA}@FI?Qg@}@]e@mAqBSUQa@m@cAcBaC_@q@e@k@]q@]e@g@{@MQ{A}BGQkBqC
11641687035;;Corrida matinal;Run;13/06/2024 06:53:00;4.29;1407;1407;0.0;171.5;191.0;80.1;3.045;3.526;328;05:27;19.125;275.0;69.0;0;0;;;;;;;;;;;;
11695986497;;Corrida matinal;Run;20/06/2024 06:53:00;5.06;1656;1656;0.0;174.3;203.0;80.3;3.057;3.588;327;05:27;18.778;329.0;90.0;0;0;;;;;;;;;;;;
11750773447;;Corrida matinal;Run;27/06/2024 06:57:00;4.05;1359;1359;0.0;172.4;196.0;81.2;2.983;3.42;336;05:35;19.466;269.0;71.0;0;0;;;;;;;;;;;;
11767478414;;Corrida matinal;Run;29/06/2024 10:18:00;6.02;1943;1943;0.0;169.9;191.0;81.7;3.097;3.422;323;05:22;18.999;369.0;93.0;0;0;;;;;;;;;;;;
11806108256;;Corrida matinal;Run;04/07/2024 09:32:00;3.0;1036;1046;0.0;173.7;193.0;78.7;2.899;3.54;345;05:45;19.879;208.0;53.0;0;0;-28.461.106.102.913.600;-4.902.590.981.684.620;13.7;13.6;88.0;5.0;5.0;4.5;9.4;63.0;Chuva moderada;xcvlDlpfjHz@tAd@h@tA|Bd@n@r@fAj@`AVn@b@v@r@fAhAjBp@x@Vn@TZP\j@p@rAzBf@r@JDHCnAwAAGe@q@CQKUQWGGGAQOSg@u@cAk@cA]a@Q_@_@]W_@kB{Cu@gAWYISKQ}BoDKKiBoCuAaCMM[OC@WZa@b@AHlBhC
11821847801;;Corrida matinal;Run;06/07/2024 09:53:00;5.01;1684;1684;0.0;177.7;190.0;80.7;2.975;3.532;336;05:36;18.914;325.0;103.0;0;0;;;;;;;;;;;;
