activity_id;activity_sport_type;lap_id;lap_index;split;name;start_date;distance_m;distance_km;moving_time_sec;elapsed_time_sec;average_speed;max_speed;average_heartrate;max_heartrate;average_cadence;total_elevation_gain;start_index;end_index;pace_sec_km;pace_formatted
18243641663;Run;65261445408;1;1;Lap 1;2026-04-24 17:29:25+00:00;1000.0;1.0;372;372;2.69;3.62;155.9;174.0;85.0;0.0;0;304;372.0;6:12
18243641663;Run;65261445416;2;2;Lap 2;2026-04-24 17:35:39+00:00;1000.0;1.0;359;359;2.79;4.66;169.7;177.0;85.4;3.4;305;663;359.0;5:59
18243641663;Run;65261445421;3;3;Lap 3;2026-04-24 17:41:38+00:00;1000.0;1.0;360;360;2.78;3.46;173.7;180.0;84.9;0.0;664;1023;360.0;6:00
18243641663;Run;65261445430;4;4;Lap 4;2026-04-24 17:47:38+00:00;1000.0;1.0;361;361;2.77;3.42;173.5;177.0;84.6;2.4;1024;1385;361.0;6:01
18243641663;Run;65261445439;5;5;Lap 5;2026-04-24 17:53:40+00:00;1000.0;1.0;347;347;2.88;3.7;178.2;184.0;85.6;0.0;1386;1611;347.0;5:47
18243641663;Run;65261445447;6;6;Lap 6;2026-04-24 17:59:27+00:00;9.45;0.009;3;3;3.15;2.84;178.0;178.0;86.0;0.0;1611;1611;333.3;5:33
18209198131;Run;65142346417;1;1;Lap 1;2026-04-22 06:06:16+00:00;1000.0;1.0;362;362;2.76;8.12;154.3;174.0;83.9;0.0;0;298;362.0;6:02
18209198131;Run;65142346427;2;2;Lap 2;2026-04-22 06:12:20+00:00;1000.0;1.0;275;275;3.64;4.08;182.8;190.0;91.9;0.0;299;574;275.0;4:35
18209198131;Run;65142346438;3;3;Lap 3;2026-04-22 06:16:56+00:00;1000.0;1.0;405;405;2.47;3.04;164.3;184.0;82.8;2.7;575;980;405.0;6:45
18209198131;Run;65142346449;4;4;Lap 4;2026-04-22 06:23:42+00:00;1000.0;1.0;283;283;3.53;3.8;168.6;184.0;93.3;0.0;981;1263;283.0;4:43
18209198131;Run;65142346463;5;5;Lap 5;2026-04-22 06:28:25+00:00;1000.0;1.0;407;407;2.46;3.38;168.0;177.0;83.8;0.0;1264;1671;407.0;6:47
18209198131;Run;65142346472;6;6;Lap 6;2026-04-22 06:35:13+00:00;1000.0;1.0;298;298;3.36;3.78;168.7;189.0;92.6;0.0;1672;1969;298.0;4:58
18209198131;Run;65142346484;7;7;Lap 7;2026-04-22 06:40:11+00:00;1000.0;1.0;362;362;2.76;3.44;173.1;181.0;84.6;6.0;1970;2263;362.0;6:02
18209198131;Run;65142346492;8;8;Lap 8;2026-04-22 06:46:13+00:00;12.35;0.012;3;3;4.12;3.04;175.0;175.0;87.0;0.0;2263;2263;250.0;4:10
18157195880;Run;64953829579;1;1;Lap 1;2026-04-18 07:19:36+00:00;1000.0;1.0;378;410;2.65;3.32;150.0;174.0;85.9;23.3;0;299;378.0;6:18
18157195880;Run;64953829603;2;2;Lap 2;2026-04-18 07:26:28+00:00;1000.0;1.0;322;322;3.11;3.78;169.7;174.0;87.4;6.8;300;623;322.0;5:22
18157195880;Run;64953829655;3;3;Lap 3;2026-04-18 07:31:52+00:00;1000.0;1.0;514;655;1.95;3.24;170.2;185.0;69.1;76.3;624;1137;514.0;8:34
18157195880;Run;64953829691;4;4;Lap 4;2026-04-18 07:42:47+00:00;1000.0;1.0;490;534;2.04;3.16;171.3;180.0;77.5;53.0;1138;1627;490.0;8:10
18157195880;Run;64953829731;5;5;Lap 5;2026-04-18 07:51:41+00:00;1000.0;1.0;503;630;1.99;3.4;165.9;178.0;71.1;57.0;1628;2129;503.0;8:23
18157195880;Run;64953829770;6;6;Lap 6;2026-04-18 08:02:12+00:00;1000.0;1.0;605;801;1.65;3.72;167.1;180.0;70.6;114.6;2130;2732;605.0;10:05
18157195880;Run;64953829800;7;7;Lap 7;2026-04-18 08:15:33+00:00;1000.0;1.0;413;426;2.42;3.22;164.7;180.0;81.1;18.7;2733;3146;413.0;6:53
18157195880;Run;64953829841;8;8;Lap 8;2026-04-18 08:22:40+00:00;1000.0;1.0;366;385;2.73;3.4;166.8;179.0;81.3;8.9;3147;3513;366.0;6:06
18157195880;Run;64953829868;9;9;Lap 9;2026-04-18 08:29:05+00:00;1000.0;1.0;400;444;2.5;3.48;167.8;177.0;82.3;15.1;3514;3915;400.0;6:40
18157195880;Run;64953829909;10;10;Lap 10;2026-04-18 08:36:30+00:00;1000.0;1.0;359;359;2.79;3.62;168.7;174.0;87.0;0.0;3916;4274;359.0;5:59
18157195880;Run;64953829953;11;11;Lap 11;2026-04-18 08:42:29+00:00;1000.0;1.0;362;362;2.76;3.2;176.0;184.0;80.9;5.1;4275;4636;362.0;6:02
18157195880;Run;64953829984;12;12;Lap 12;2026-04-18 08:48:31+00:00;1000.0;1.0;355;401;2.82;3.46;173.9;182.0;81.8;3.2;4637;4901;355.0;5:55
18157195880;Run;64953830047;13;13;Lap 13;2026-04-18 08:55:13+00:00;9.74;0.01;5;5;1.95;2.22;172.5;173.0;83.0;0.0;4901;4901;500.0;8:20
18137098183;Run;64882522195;1;1;Lap 1;2026-04-16 16:43:22+00:00;1000.0;1.0;372;372;2.69;3.14;151.9;174.0;84.1;5.0;0;284;372.0;6:12
18137098183;Run;64882522202;2;2;Lap 2;2026-04-16 16:49:36+00:00;1000.0;1.0;352;352;2.84;3.48;171.5;176.0;84.7;2.9;285;636;352.0;5:52
18137098183;Run;64882522209;3;3;Lap 3;2026-04-16 16:55:28+00:00;1000.0;1.0;333;333;3.0;3.58;175.1;179.0;85.4;0.0;637;970;333.0;5:33
18137098183;Run;64882522214;4;4;Lap 4;2026-04-16 17:01:02+00:00;1000.0;1.0;326;326;3.07;3.52;178.4;186.0;86.2;2.9;971;1297;326.0;5:26
18137098183;Run;64882522220;5;5;Lap 5;2026-04-16 17:06:29+00:00;1000.0;1.0;316;316;3.16;3.52;186.0;192.0;87.5;5.6;1298;1613;316.0;5:16
18137098183;Run;64882522225;6;6;Lap 6;2026-04-16 17:11:45+00:00;1000.0;1.0;346;365;2.89;3.5;181.1;190.0;85.5;2.6;1614;1892;346.0;5:46
18110004356;Run;64787472896;1;1;Lap 1;2026-04-14 16:44:48+00:00;1000.0;1.0;354;354;2.82;3.9;168.7;177.0;84.7;8.1;0;266;354.0;5:54
18110004356;Run;64787472913;2;2;Lap 2;2026-04-14 16:50:44+00:00;1000.0;1.0;341;341;2.93;3.32;175.1;182.0;85.6;0.0;267;608;341.0;5:41
18110004356;Run;64787472927;3;3;Lap 3;2026-04-14 16:56:26+00:00;1000.0;1.0;329;329;3.04;3.54;178.8;182.0;86.1;0.0;609;938;329.0;5:29
18110004356;Run;64787472942;4;4;Lap 4;2026-04-14 17:01:56+00:00;1000.0;1.0;343;343;2.92;3.32;182.1;184.0;86.3;7.1;939;1281;343.0;5:43
