id;name;sport_type;start_date;distance_km;moving_time_sec;elapsed_time_sec;elevation_gain;average_heartrate;max_heartrate;average_cadence;average_speed;max_speed;pace_sec_km;pace_formatted;efficiency_index;calories;suffer_score;pr_count;achievement_count
18181790145;Regenerando;Run;20/04/2026 06:11:51;10.01;3080;3080;24.1;147.2;156.0;86.3;3.249;3.66;308;5:07;2.0904;669.0;29.0;0;0
18170621050;Corrida matinal;Run;19/04/2026 07:06:24;10.01;3044;3044;13.5;149.8;161.0;86.1;3.288;4.3;304;5:04;2.03;676.0;39.0;0;0
18157006730;Fartlek quebrado;Run;18/04/2026 07:37:50;14.01;3677;4023;23.5;175.9;192.0;87.2;3.809;5.017;262;4:22;1.4923;975.0;165.0;1;1
18129364246;Corrida matinal;Run;16/04/2026 06:07:23;10.01;3007;3007;241.0;167.5;192.0;85.5;3.329;5.4;300;5:00;1.7934;742.0;98.0;0;1
18102135782;Tiroteio;Run;14/04/2026 06:16:10;9.72;2895;3026;93.4;149.9;193.0;85.3;3.358;6.167;298;4:57;1.9867;653.0;41.0;0;0
18078635673;Corrida matinal;Run;12/04/2026 07:23:03;15.07;5479;5507;630.0;153.8;175.0;84.0;2.751;4.633;364;6:03;2.3641;1197.0;95.0;0;2
18038413512;Corrida matinal;Run;09/04/2026 06:05:35;10.01;2787;2982;37.2;159.5;184.0;86.9;3.591;6.0;278;4:38;1.7455;686.0;68.0;0;0
18024694399;Corrida matinal;Run;08/04/2026 06:30:40;10.0;3012;3012;41.7;151.1;167.0;87.2;3.321;3.722;301;5:01;1.9934;682.0;47.0;0;0
17985527366;Corrida matinal;Run;05/04/2026 06:59:17;5.08;1115;1115;5.3;168.9;183.0;92.0;4.554;5.457;220;3:39;1.2996;316.0;38.0;6;7
17985527108;Corrida matinal;Run;05/04/2026 06:35:19;2.01;664;670;0.0;130.7;152.0;85.9;3.026;4.567;330;5:30;2.5272;138.0;2.0;0;0
17960712109;Com a madame 👸🏻;Run;03/04/2026 07:43:44;5.37;1887;1887;11.8;136.2;151.0;85.1;2.846;3.175;351;5:51;2.58;373.0;8.0;0;0
17960704597;Corrida matinal;Run;03/04/2026 07:05:28;8.01;2196;2196;12.7;153.9;176.0;87.4;3.648;4.629;274;4:34;1.7817;525.0;40.0;0;0
17935647437;Corrida matinal;Run;01/04/2026 06:38:46;10.01;3147;3153;5.8;147.1;153.0;86.1;3.18;3.967;314;5:14;2.1373;681.0;31.0;0;0
17931259530;Tirinhos;Run;31/03/2026 19:01:51;10.56;2992;3301;56.8;155.3;191.0;83.8;3.528;6.338;283;4:43;1.8242;749.0;60.0;0;1
17894486356;Corrida ao entardecer;Run;28/03/2026 19:11:34;18.01;4774;4815;11.5;168.1;184.0;87.1;3.772;5.1;265;4:25;1.577;1213.0;157.0;0;1
17863245972;Corrida matinal;Run;26/03/2026 06:36:02;8.01;2061;2111;2.5;172.5;192.0;88.5;3.888;5.25;257;4:17;1.4916;536.0;83.0;1;2
17860736953;Treino ao entardecer;Workout;25/03/2026 19:45:51;6.05;2867;3514;0.0;109.3;138.0;53.5;2.11;4.94;474;7:53;4.3358;330.0;7.0;0;0
17838077635;Corrida matinal;Run;24/03/2026 06:53:02;5.18;1346;1349;2.2;172.0;187.0;86.7;3.851;6.06;260;4:19;1.5105;347.0;52.0;1;1
17838077724;Corrida matinal;Run;24/03/2026 06:39:00;2.02;586;586;3.0;153.6;169.0;85.7;3.441;4.72;290;4:50;1.8887;139.0;9.0;0;0
17825615224;Corrida matinal;Run;23/03/2026 06:35:29;8.2;2542;2548;5.6;148.5;157.0;84.7;3.225;4.317;310;5:10;2.0875;557.0;28.0;0;0
17800955923;Corrida matinal;Run;21/03/2026 06:26:33;15.01;4607;4639;365.9;154.6;178.0;84.5;3.258;4.883;307;5:06;1.9851;1040.0;90.0;0;0
17776917819;Corrida matinal;Run;19/03/2026 06:33:45;8.01;2363;2371;213.3;156.9;182.0;84.7;3.39;4.5;295;4:55;1.8802;561.0;50.0;2;6
17773005205;Corrida ao entardecer;Run;18/03/2026 18:58:33;8.5;2804;2814;5.7;137.8;152.0;83.6;3.031;4.02;330;5:29;2.394;569.0;13.0;0;0
17751841109;5x 1000;Run;17/03/2026 06:34:45;8.66;2582;2586;0.0;163.6;191.0;85.3;3.354;5.443;298;4:58;1.8227;614.0;66.0;0;1
17729319819;Corrida matinal;Run;15/03/2026 06:57:16;15.02;4188;4188;31.3;157.0;182.0;87.4;3.587;4.68;279;4:38;1.7758;1008.0;90.0;0;0
17706065214;Corrida matinal;Run;13/03/2026 06:35:11;8.21;2573;2691;5.6;159.6;173.0;85.3;3.189;4.371;313;5:13;1.9637;594.0;63.0;0;0
17694835328;Corrida matinal;Run;12/03/2026 06:27:30;11.0;2941;2941;3.4;172.1;199.0;87.6;3.741;5.62;267;4:27;1.5537;753.0;112.0;0;0
17678424944;Corrida ao entardecer;Run;10/03/2026 18:25:14;8.2;2350;2568;15.4;153.5;180.0;85.2;3.489;6.183;287;4:46;1.8671;580.0;42.0;0;0
17635125143;Corrida matinal;Run;07/03/2026 08:04:14;16.01;4372;4422;28.7;174.6;189.0;87.3;3.661;4.875;273;4:33;1.5641;1130.0;190.0;0;2
17610827041;Algumas subidas / plano;Run;05/03/2026 06:04:47;10.01;3120;3128;102.5;157.7;183.0;86.3;3.207;4.233;312;5:11;1.9765;722.0;61.0;0;0
17585718297;Corrida matinal;Run;03/03/2026 06:38:42;7.64;1925;2347;0.0;173.3;196.0;88.2;3.969;6.12;252;4:11;1.4541;601.0;78.0;0;0
