id;name;intensidade;sport_type;start_date;distance_km;moving_time_sec;elapsed_time_sec;elevation_gain;average_heartrate;max_heartrate;average_cadence;average_speed;max_speed;pace_sec_km;pace_formatted;efficiency_index;calories;suffer_score;pr_count;achievement_count;latitude;longitude;weather_temp;weather_feels_like;weather_humidity;weather_precipitation;weather_rain;weather_wind_speed;weather_wind_gusts;weather_code;weather_condition
10804043200;regenerativo;leve;Run;20/02/2024 19:10:00;9.66;3147;3147;39.0;;;;3.069;4.846;326;05:25;;0.0;;1;1;-28.455.058.727.413.400;-49.028.521.701.693.500;20.7;23.7;94.0;0.0;0.0;5.1;10.4;1.0;Principalmente limpo
10832712508;Corrida matinal;;Run;25/02/2024 07:27:00;4.76;1338;1426;14.5;;;;3.56;5.214;281;04:41;;0.0;;5;5;-28.456.200.594.082.400;-4.902.865.103.445.940;24.0;29.1;96.0;0.1;0.1;3.4;8.6;51.0;Garoa leve
10879528950;Corrida matinal;;Run;03/03/2024 07:02:00;5.0;1376;1376;5.0;;;;3.635;4.912;275;04:35;;0.0;;1;6;-28.480.009.473.860.200;-4.900.572.300.888.590;23.1;26.7;89.0;0.0;0.0;5.9;11.9;0.0;Desconhecido
10928334670;Corrida matinal;;Run;10/03/2024 06:54:00;5.0;1409;1409;8.6;;;;3.55;5.192;282;04:41;;0.0;37.0;0;6;-28.455.079.346.895.200;-4.902.858.758.345.240;22.6;26.7;95.0;0.0;0.0;5.1;9.0;0.0;Desconhecido
10961640765;regenerativo;leve;Run;14/03/2024 20:01:00;5.0;1686;1686;4.6;;;;2.966;6.05;337;05:37;;0.0;;0;0;-28.483.367.851.004.000;-4.901.382.244.192.060;20.8;24.5;100.0;0.0;0.0;3.7;7.2;1.0;Principalmente limpo
10977596919;Corrida matinal;;Run;17/03/2024 06:56:00;9.0;2631;2631;7.6;;;;3.422;4.856;292;04:52;;0.0;;1;3;-2.848.380.194.976.920;-4.901.323.285.885.150;23.2;26.9;95.0;0.0;0.0;10.6;20.2;3.0;Nublado
11027804041;Intervalado;muito forte;Run;24/03/2024 08:55:00;4.01;1098;1350;2.1;;;;3.649;6.276;274;04:33;;0.0;;2;3;-2.848.318.923.264.740;-49.013.502.756.133.600;18.5;19.8;91.0;0.0;0.0;8.0;16.2;0.0;Desconhecido
11060120773;Corrida matinal;;Run;29/03/2024 05:55:00;8.19;2426;2426;5.5;;;;3.378;5.47;296;04:56;;0.0;;0;2;-28.483.488.634.228.700;-4.901.186.694.391.070;22.0;24.7;89.0;0.0;0.0;8.4;15.5;3.0;Nublado
11079301123;longo morro;moderado;Run;31/03/2024 17:55:00;0.97;409;515;94.8;;;;2.379;4.197;422;07:01;;0.0;;0;1;-28.454.437.293.112.200;-490.328.664.612.025;20.9;24.3;97.0;0.0;0.0;4.1;7.9;0.0;Desconhecido
11087333057;regenerativo;leve;Run;01/04/2024 20:56:00;8.0;2695;2695;7.1;;;;2.969;5.066;337;05:36;;0.0;;0;7;-28.482.553.968.206.000;-49.010.776.123.031.900;21.5;24.2;81.0;0.0;0.0;2.1;4.7;1.0;Principalmente limpo
11101239718;moderado;moderado ;Run;03/04/2024 19:01:00;7.01;1947;2300;6.9;;;;3.599;5.658;278;04:37;;0.0;;0;0;-28.456.032.034.009.600;-4.902.856.981.381.770;20.6;23.9;95.0;0.0;0.0;3.7;7.9;0.0;Desconhecido
11108381116;corriga antiga;;Run;04/04/2024 19:37:00;8.01;2251;2263;6.3;;;;3.559;6.0;281;04:41;;0.0;;1;7;-28.483.759.621.158.200;-4.901.541.802.100.830;22.5;26.3;93.0;0.0;0.0;5.2;10.1;3.0;Nublado
11116938710;Corrida matinal;;Run;06/04/2024 05:34:00;10.01;2792;2792;9.0;;;;3.584;8.17;279;04:38;;0.0;;7;12;-2.848.322.544.246.910;-4.901.025.359.518.820;19.3;20.7;90.0;0.0;0.0;8.7;16.6;3.0;Nublado
11138124226;corriga antiga;;Run;08/04/2024 19:36:00;9.0;2493;2524;7.2;;;;3.612;5.63;277;04:37;;0.0;;7;9;-28.482.553.800.567.900;-4.901.059.138.588.600;21.0;23.6;92.0;0.1;0.1;7.9;15.8;51.0;Garoa leve
11155243423;Corrida matinal;;Run;11/04/2024 04:55:00;5.02;1617;1620;5.4;149.1;171.0;82.6;3.104;3.902;322;05:22;21.603;362.0;35.0;0;3;-28.455.131.398.513.900;-4.902.861.759.066.580;21.5;24.3;96.0;1.9;1.9;10.2;21.2;61.0;Chuva leve
11179281895;Corrida matinal;;Run;14/04/2024 07:01:00;5.13;1284;1284;5.0;150.1;169.0;86.7;3.996;8.482;250;04:10;16.676;284.0;28.0;4;5;-2.847.830.057.144.160;-49.007.009.798.660.800;21.1;23.0;93.0;1.5;1.5;13.0;25.9;61.0;Chuva leve
11198643503;corriga antiga;;Run;16/04/2024 19:11:00;8.0;2284;2287;29.5;151.9;180.0;83.0;3.502;5.082;286;04:45;18.795;525.0;55.0;0;0;-28.455.081.610.009.000;-4.902.855.355.292.550;23.5;25.9;90.0;0.2;0.2;15.5;30.6;51.0;Garoa leve
11219456738;corriga antiga;;Run;19/04/2024 18:17:00;5.0;1894;1894;3.6;142.3;159.0;79.9;2.638;4.285;379;06:18;2.662;403.0;26.0;0;0;-2.846.188.318.915.660;-4.902.442.957.274.610;14.9;14.6;87.0;0.0;0.0;8.2;15.5;0.0;Desconhecido
11222532170;longo;moderado;Run;20/04/2024 05:49:00;20.01;6049;6049;38.9;158.7;177.0;83.0;3.308;5.162;302;05:02;19.049;1394.0;190.0;0;3;-2.848.367.052.152.750;-49.010.701.943.188.900;16.8;17.2;80.0;0.0;0.0;4.6;9.0;0.0;Desconhecido
11257454727;corriga antiga;;Run;24/04/2024 19:32:00;5.59;1610;1631;6.2;152.1;184.0;84.0;3.472;5.982;288;04:48;18.935;339.0;37.0;0;2;-28.483.921.475.708.400;-490.111.340.302.974;21.5;23.5;87.0;0.0;0.0;10.0;19.1;1.0;Principalmente limpo
