activity_id;activity_sport_type;best_effort_id;name;distance_m;distance_km;moving_time_sec;elapsed_time_sec;pr_rank;is_pr;start_date;start_index;end_index;pace_sec_km;pace_formatted
18196430601;Run;76487889616;400m;400;0.4;76;76;;False;2026-04-21 07:52:28+00:00;267;294;190.0;3:10
18196430601;Run;76487889617;1/2 mile;805;0.805;196;196;;False;2026-04-21 07:52:28+00:00;76;127;243.5;4:03
18196430601;Run;76487889618;1K;1000;1.0;243;243;;False;2026-04-21 07:52:28+00:00;70;133;243.0;4:03
18196430601;Run;76487889612;1 mile;1609;1.609;426;426;;False;2026-04-21 07:52:28+00:00;30;134;264.8;4:24
18196430601;Run;76487889613;2 mile;3219;3.219;902;902;;False;2026-04-21 07:52:28+00:00;170;475;280.2;4:40
18196430601;Run;76487889614;5K;5000;5.0;1457;1457;;False;2026-04-21 07:52:28+00:00;65;533;291.4;4:51
18196430601;Run;76487889615;10K;10000;10.0;3045;3045;;False;2026-04-21 07:52:28+00:00;70;1007;304.5;5:04
18181790145;Run;76424052840;400m;400;0.4;118;118;;False;2026-04-20 06:11:51+00:00;432;459;295.0;4:55
18181790145;Run;76424052841;1/2 mile;805;0.805;239;239;;False;2026-04-20 06:11:51+00:00;432;487;296.9;4:56
18181790145;Run;76424052842;1K;1000;1.0;299;299;;False;2026-04-20 06:11:51+00:00;423;491;299.0;4:59
18181790145;Run;76424052836;1 mile;1609;1.609;483;483;;False;2026-04-20 06:11:51+00:00;431;535;300.2;5:00
18181790145;Run;76424052837;2 mile;3219;3.219;970;970;;False;2026-04-20 06:11:51+00:00;424;634;301.3;5:01
18181790145;Run;76424052838;5K;5000;5.0;1519;1519;;False;2026-04-20 06:11:51+00:00;296;627;303.8;5:03
18181790145;Run;76424052839;10K;10000;10.0;3077;3077;;False;2026-04-20 06:11:51+00:00;1;665;307.7;5:07
18170621050;Run;76375788124;400m;400;0.4;117;117;;False;2026-04-19 07:06:24+00:00;392;420;292.5;4:52
18170621050;Run;76375788125;1/2 mile;805;0.805;238;238;;False;2026-04-19 07:06:24+00:00;369;422;295.7;4:55
